presc_no,plan_id,prod_id,presc_last_nm,presc_mid_nm,presc_first_nm,presc_street_addr,presc_city,presc_st,Zip,data_dt,week_bckt_1,week_bckt_2,week_bckt_3,week_bckt_4,week_bckt_5,week_bckt_6,week_bckt_7,week_bckt_8,week_bckt_9,week_bckt_10,week_bckt_11,week_bckt_12,week_bckt_13,week_bckt_14,week_bckt_15,week_bckt_16,week_bckt_17,week_bckt_18,week_bckt_19,week_bckt_20,week_bckt_21,week_bckt_22,week_bckt_23,week_bckt_24,week_bckt_25,week_bckt_26,week_bckt_27,week_bckt_28,week_bckt_29,week_bckt_30,week_bckt_31,week_bckt_32,week_bckt_33,week_bckt_34,week_bckt_35,week_bckt_36,week_bckt_37,week_bckt_38,week_bckt_39,week_bckt_40,week_bckt_41,week_bckt_42,week_bckt_43,week_bckt_44,week_bckt_45,week_bckt_46,week_bckt_47,week_bckt_48,week_bckt_49,week_bckt_50,week_bckt_51,week_bckt_52,week_bckt_53,week_bckt_54,week_bckt_55,week_bckt_56,week_bckt_57,week_bckt_58,week_bckt_59,week_bckt_60,week_bckt_61,week_bckt_62,week_bckt_63,week_bckt_64,week_bckt_65,week_bckt_66,week_bckt_67,week_bckt_68,week_bckt_69,week_bckt_70,week_bckt_71,week_bckt_72,week_bckt_73,week_bckt_74,week_bckt_75,week_bckt_76,week_bckt_77,week_bckt_78,week_bckt_79,week_bckt_80,week_bckt_81,week_bckt_82,week_bckt_83,week_bckt_84,week_bckt_85,week_bckt_86,week_bckt_87,week_bckt_88,week_bckt_89,week_bckt_90,week_bckt_91,week_bckt_92,week_bckt_93,week_bckt_94,week_bckt_95,week_bckt_96,week_bckt_97,week_bckt_98,week_bckt_99,week_bckt_100,week_bckt_101,week_bckt_102,week_bckt_103,week_bckt_104
PRESC1,PLAN3,PROD101,Maria, ,Bradley,431 Ruiz Streets,Lisaville,Missouri,84710,3/31/18,8,7,7,4,3,8,6,8,4,7,5,4,7,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC2,PLAN3,PROD102,Matthew,Ronnie,Noble,699 Brewer Path Apt. 552,South Michelle,Nevada,89645,3/31/18,1,7,4,9,10,8,6,2,7,9,6,10,8,3,9,10,0,0,0,0,0,1.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC3,PLAN3,PROD101,Sean,Jasmine,Baker,6547 Jaclyn Corners,Rodriguezberg,Vermont,96282,3/31/18,5,6,8,2,7,8,5,3,3,10,4,8,4,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC4,PLAN3,PROD101,Sherri, ,Harvey,140 Erik Spring,East Tylermouth,Texas,27407,3/31/18,10,5,6,8,7,5,10,1,2,1,1,5,9,10,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC5,PLAN3,PROD101,David,Anthony,Salas,67550 Kevin Mountains,East Oliviastad,Texas,59412,3/31/18,7,2,10,4,5,10,9,9,1,7,4,6,10,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
PRESC6,PLAN1,PROD102,Patrick,Richard,Reynolds,335 Best Shores,Lake Joshuaport,Oregon,63491,3/31/18,5,1,5,8,1,5,6,5,1,7,2,9,2,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC7,PLAN3,PROD102,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,43976,3/31/18,2,8,1,4,9,7,7,1,5,7,2,10,10,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC7,PLAN1,PROD103,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,31526,3/31/18,6,8,10,4,9,4,4,8,1,9,5,6,4,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC7,PLAN2,PROD103,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,98662,3/31/18,5,4,1,5,2,1,2,3,4,3,10,1,9,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESC7,PLAN3,PROD103,Katelyn, ,Tran,353 Conway Ways Apt. 298,Port Jamesmouth,Tennessee,76489,3/31/18,4,7,9,4,6,3,10,4,4,8,6,9,8,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
